Summary ,Action,Data,Expected Result
Audio Output Selection_Audio management after electrical reboot in both modes (HDMI and Speaker),"Go to *Device Preferences >> Display & Sound >> Audio processing >> enable Output to HDMI*

Check the behaviour of the audio after electrical when the audio output is set to HDMI
Go to *Device Preferences >> Display & Sound >> Audio processing >> disable Output to HDMI*

Check the behaviour of the audio after electrical wehn the audio output is set to speaker",,"Audio is well heard from HDMI
Audio is well heard from speaker"
"Audio Output Selection_Speaker test _Play ""Speaker Headphones, Test Left and Right"" video","Open Youtube and search for video ""Speaker Headphones, Test Left and Right"" then  launch video",Example Video ID: 6TWJaFD6R2s,Check that the sound is heard on the left side then on the right side in each case
Audio Output Selection_Check that the Switch between Speaker and HDMI is as expected,"From Settings menu >Display & Sound > Audio processing

1. Switch the audio output selection between speaker and HDMI several times

2. Select audio output ""Speaker""
Select audio output ""HDMI""",,"1. Switch is OK and Audio Video are OK, 

Synchro(Audio/Video) OK

2. Audio from speaker is OK
Audio is come from HDMI ==> OK

Video audio are OK

Synchro(Audio/Video) OK"
Audio Output Selection_Local speaker,"From Settings Menu, select local speakers as Audio Output


Put the DUT in standby
Electrically reboot the DUT
Check that Audio is well maneged after the wake up",,"Verify that audio is correctly outputed on the DUT speakers and AV still well synchronized.

Verify that all Audio Voice Assistant answers, Bluetooth playback and Spotify Connect playback are correctly outputed on the DUT speakers.

Verify all other VSB's audio (Live, Youtube, ...) are correcly outputed on the DUT speakers.
Verify that audio is correctly interrupted on the DUT speakers.
VSB reboots correctly

i.e: VSB reboots in standby mode for VF products 
i.e: VSB is wake up for DUT OSP and Polsat
DUT is on ON status 
Verify that audio is correctly outputed on the DUT speakers.

Verify that all Audio Voice Assistant answers, Spotify Connect playback and
Bluetooth playback are correctly outputed on the DUT speakers."
Audio Ouput Selection_Check Audio selection after TV Off/reboot when set to HDMI,"From Settings Menu, select HDMI as Audio output
and then  Wait a while
Turn Off TV
Turn on TV then Reboot DUT",,"The audio is heared from the TV, and is well synchronized with video

Verify that all Audio Voice Assistant answers go through HDMI in the selected
format: Stereo/ Auto

For VSB ONLY :Spotify Connect and Bluetooth playback should be heard through HDMI (these two check are NA for STB)
The audio should not be heared from the TV which is OFF
Parameters are saved after electrical reboot"
Audio Output Selection_Check  DUT status after reboot - DUT and TV Off - HDMI Output,"From Settings Menu,select HDMI as Audio output then put VSB and TV on StandBy
Ask some questions to Voice assistant.

Play music with Bluetooth
Reboot the DUT",,"No audio is heard on HDMI and on Speakers
For Assistant response: DUT and TV are ON, response displayed on screen and  audio heard from HDMI

For Bluetooth: DUT and TV are OFF and no audio heard
Parameters are saved after reboot DUT

DUT status depends on the projest's spec

i.e: DUT reboots in standby mode for VF products 
i.e: DUT is wake up for VSB OSP and Polsat"
"Audio Output Selection_Output is to HDMI_ DUT Off and TV On, CEC disabled ","From Settings Menu,select HDMI as Audio output then Turn Off DUT
Test 1: Ask some questions to Voice Assistant.

Test 2: Play music with
 - Spotify Connect
 - Bluetooth
Reboot DUT
1- Ask some questions to Voice Assistant

2- Play music with  
   - Spotify Connect  
   - Bluetooth",,"No audio is heared on HDMI and on Speakers

TV is On
For Assistant response: DUT and TV are ON, response displayed on screen and no audio heard

For Bluetooth: DUT is OFF and No audio heard

For spotify connect: DUT and TV are ON and audio heard from HDMI
Parameters are saved after reboot DUT

DUT status depends on the projest's spec

i.e: DUT reboots in standby mode for VF products 
i.e: DUT is wake up for VSB OSP and Polsat
For Assistant response: DUT and TV are ON, response displayed on screen and no audio heard

For Bluetooth: DUT is OFF and No audio heard

For spotify connect: DUT and TV are ON and audio heard from HDMI"
Audio Output Selection_Audio level when output is Speaker and DUT off ,"Audio Output selection is speaker

Increase the volume and note the volume level
Turn off DUT
While DUT is still in standby, change the volume with the DUT RCU-V+ then turn on DUT",,"Audio is played from speaker correctly

Audio is heard and volume level is incremented
DUT goes to Standby mode (S0.5) and Playback stops
Volume level should  be changed and audio increase correctly"
Bluetooth_Notification on disconnection / automatic connection from Bluetooth device,"Depending of the product, if automatic connection of default device is available:

Check that at the automatic connection of default device, a notification appears .
Check that at the disconnection of a device, a notification appears with a red
background and a message ""*DEVICE is now disconnected*""",,"A notification appears:


At the disconnection of a device, a notification appears with a red background
and a message ""DEVICE is now disconnected""

"
Bluetooth_Playback mangement when content played from TV  on the DUT ,"Pair the TV to the DUT via bluetooth
Play a content from the TV via bluetooth


Decrease / Increase volume from TV",,"TV and DUT are well connected
Make sure that the audio is correctly heard on the DUT
Volume is well managed on the DUT"
Bluetooth_Playback management from Apple Device paired to the DUT,"Connect an Apple device to the DUT in Bluetooth
Enter wrong code
Repeat step 1 and Fill the correct code of pairing bluetooth and connect
On Apple device, launch music
On Apple device, press Play/Pause Button several times
On Apple device, press v+ / v-
Ask a question to Voice Assistant during Bluetooth playback

For example:

Say "" *OK Google , what time is it*? """,,"PoP up msg with the required pairing code should be requested

 

{*}Note{*}: Confirm pairing and zap to step 4 if pairing with code enter is not supported by DUT (depends on DUT)
Smart phone can't be connected and error message is displayed
Apple device and DUT are correclty connected in Bluetooth
Music is correctly played on VSB on Bluetooth
Music is correctly paused/played on VSB, and Bluetooth player updated
accordingly.
Check that volume is increasing / decreasing
Voice Assistant should gives the correct response"
Bluetooth_Device Name Management ,"On DUT, go to *Devices Preferences>About>Device Name*
Connect external device to the DUT via BT
Navigate to DUT *Settings>About>Device name*. Change it.
Disable then enable Bluetooth on your external device, then check that new DUT name is displayed",,"It displays the name chosen during first install
2 devices are well connceted
New name appears under ""*Device name*""
On your external device you can see the new DUT name and reconnect to it."
